xinfanmingcheng	新番名称
xinpian	新篇
xintiaoleyuan	心跳乐园
xinzhiguodeailisi	心之国的爱丽丝
xingfuguangban	幸福光斑
xiongxiongranshao	熊熊燃烧
xueyuanjiuyuantuan	学园救援团
yanmojun	炎魔君
yandaideyexin	眼带的野心
yaoyebaihe	摇曳百合
yeliangju	野良剧
yiqiduanlian	一起锻炼
yiguomigongdeshizilukou	异国迷宫的十字路口
yinhun	银魂
yinmuheitaliya	银幕黑塔利亚
yinyizhifamu	银翼之法姆
yingguotingqiuchengjuezhan	英国庭球城决战
yingxiongzhuanshuo	英雄传说
yinghuozhisen	萤火之森
yongyuanzhijiuyuan	永远之久远
youjiuluanshilianhuatan	悠久乱世恋华谭
youxiwang	游戏王
yuzhouhaizeihaluokechuanzhang	宇宙海贼哈洛克船长
yuxiang	玉响
yuyan	预言
yuantianpian	原田篇
zanwu	暂无
zengliangzhong	增量中
cengjiheshitianmodeheitu	曾几何时天魔的黑兔
zhanchangnvwushen	战场女武神
zhandoutuoluo	战斗陀螺
zhandouzhihun	战斗之魂
zhanguoguicaichuan	战国鬼才传
zhanguoshaonv	战国少女
zhanguotiantang	战国天堂
zhanjing	战警
zhaohewuyu	昭和物语
zhaohuanshou	召唤兽
zhegeshijiangshima	这个是僵尸吗
zhendeyouya	真的有呀
zhenrenbanliebiao	真人版列表
zhiyoushenzhidaodeshijie	只有神知道的世界
zhuangjiaqibing	装甲骑兵
zhuizhufanxingdehaizi	追逐繁星的孩子
zhuoyandexiana	灼眼的夏娜
zuiqiangjuntuanaojiaxilai	最强军团奥加袭来
zuiyoujiwaizhuan	最游记外传
zuizhongliufang	最终流放
zuizhongliufangyinyizhifamu	最终流放银翼之法姆
zuiewangguan	罪恶王冠
mingwangshenhua	冥王神话
feidandeyaliya	绯弹的亚里亚
anmei	俺妹
baihualiaoluan	百花缭乱
chaojijiqirendazhan	超级机器人大战
chisedeyueding	赤色的约定
chubaonvwang	出包女王
chushidazahui	厨师大杂烩
chuanshuozhongyongzhedechuanshuo	传说中勇者的传说
chuansongzhiwu	传颂之物
dashenheqigehaohuoban	大神和七个好伙伴
daoyu	刀语
diaodaiwa	吊带袜
gangtiexia	钢铁侠
gaoda	高达
gaoxiaomanhuarihe	搞笑漫画日和
guaidaolinai	怪盗丽奈
guanjiahougongxueyuan	管家后宫学园
haiyueji	海月姬
heizhishi	黑执事
huawanyouzhiyuan	花丸幼稚园
huangchuanbaoxiaotuan	荒川爆笑团
jiaocuozhanzheng	交错战争
jiaoxiangqingrenmeng	交响情人梦
jiugouzhixue	咎狗之血
kongzhiyin	空之音
kuwa	裤袜
liurendeyongshi	六人的勇士
mengsedangaoshi	梦色蛋糕师
mitumao	迷途猫
mofajinshumulu	魔法禁书目录
neiku	内裤
nizhuanjiandu	逆转监督
nongyenvhai	农业女孩
nvpukafeiting	女仆咖啡厅
qiangximonv	强袭魔女
qinwenjiejie	亲吻姐姐
qingchun	青春
shanguangdeyexi	闪光的夜袭
shanliangdetakete	闪亮的塔科特
shaonianfanzhiqiren	少年犯之七人
shaonvfuermosi	少女福尔摩斯
shaonvyaoguaishiliu	少女妖怪石榴
shigui	尸鬼
shijimoshenmixueyuan	世纪末神秘学院
shouhuzhefeiju	守护者绯鞠
shujia	书家
shumabaolong	数码暴龙
tianjiangruanmei	天降软妹
wangpaitoushouzhenbigaohui	王牌投手振臂高挥
wangxiangxueshenghui	妄想学生会
wodemeimeibukenengzhemekeai	我的妹妹不可能这么可爱
xixueguitongmeng	吸血鬼同盟
xiaridahuipian	夏日大会篇
xinlingzhentanbayun	心灵侦探八云
xinfeng	信蜂
xueshenghuizhangshinvpu	学生会长是女仆
xueyuanmoshilu	学园默示录
yanjingshe	眼镜蛇
yaoyuandeshikongzhong	遥远的时空中
yinvdaluan	乙女大乱
yingdaopian	影道篇
yudianxiayiqi	与殿下一起
yuanzhikong	缘之空
zhanguo	战国
zhenlianjiwushuang	真恋姫无双
zhufuzhizhong	祝福之钟
zuihoudamowang	最后大魔王
jiling	鹡鸰
anhunqu	安魂曲
anni	安妮
baisexiangbu	白色相簿
bangqiushaonv	棒球少女
baotouwang	豹头王
beiqishaonv	背骑少女
beifengsuodeshegu	被封锁的涉谷
cangtianhanglu	苍天航路
caomeimianhuatang	草莓棉花糖
chaokedeshikong	超克的时空
chaorenqiweiyuanzhang	超人气委员长
chulianxianding	初恋限定
chuanyueyuzhoudeshaonv	穿越宇宙的少女
chunleiji	春雷记
dazhengyeqiuniang	大正野球娘
dixiachengyuyongshi	地下城与勇士
diyishenquan	第一神拳
dongjingzhenji	东京震级
dongzhiyidian	东之伊甸
dongriliange	冬日恋歌
dushexintiao	毒蛇信条
gangkedeleijiaosi	钢壳的雷吉奥斯
guaitancanguan	怪谈餐馆
haimaomingqizhishi	海猫鸣泣之时
haiwuyu	海物语
hanchanmingqizhishili	寒蝉鸣泣之时礼
heishen	黑神
heitaliya	黑塔利亚
heizhiqiyuezhe	黑之契约者
huawuyu	化物语
jiqiaomoshen	机巧魔神
jianairiji	加奈日记
jiandanyidongdexiandaimofa	简单易懂的现代魔法
jinseqinxian	金色琴弦
juewanglaoshi	绝望老师
kexuedechaodiancipao	科学的超电磁炮
kongguanshaonv	空罐少女
koudaiyaoguaijuchangban	口袋妖怪剧场版
lanhuabaihedonghua	蓝花百合动画
langyuxiangxinliao	狼与香辛料
langmanzhuixingshe	浪漫追星社
longzhita	龙之塔
majiangshaonv	麻将少女
maliyakuangre	玛利亚狂热
maoyuansanjiaolian	猫愿三角恋
mingrideyuyi	明日的与一
molichongdianniang	魔力充电娘
